fecha_campana,campana_id,plataforma,tipo_campana,audiencia_objetivo,presupuesto_diario,impresiones,clicks,conversiones,costo_total,revenue_generado,alcance,engagement_rate,tiempo_conversion_hrs,ctr,conversion_rate,cpc,cpa,roas
2025-10-05,CAMP-229258,LinkedIn Ads,Engagement,25-34,372.7,11627,4024,105,1847.65,4341.57,14486,9.54,119.9,34.609,2.61,0.46,17.6,2.35
2025-02-22,CAMP-243962,TikTok Ads,Traffic,55+,461.51,9792,44,3,222.56,1127.39,62358,5.3,127.8,0.449,6.82,5.06,74.19,5.07
2025-05-24,CAMP-529903,Instagram Ads,Lead Generation,45-54,787.32,74969,3162,53,432.17,6417.58,13166,1.42,94.3,4.218,1.68,0.14,8.15,14.85
2025-05-05,CAMP-631262,TikTok Ads,Conversion,18-24,207.68,44001,1965,190,138.19,596.41,39160,5.01,129.5,4.466,9.67,0.07,0.73,4.32
2025-11-09,CAMP-27824,TikTok Ads,Engagement,18-24,519.09,77552,1595,145,684.39,7895.1,4061,5.22,83.0,2.057,9.09,0.43,4.72,11.54
2025-10-18,CAMP-588508,Facebook Ads,Conversion,35-44,596.49,24897,3953,43,807.92,6177.96,27354,11.08,87.9,15.877,1.09,0.2,18.79,7.65
2026-01-05,CAMP-208496,Instagram Ads,Engagement,35-44,55.99,69148,3083,161,579.13,1589.73,65005,9.74,71.9,4.459,5.22,0.19,3.6,2.75
2025-03-16,CAMP-750800,Instagram Ads,Lead Generation,25-34,611.47,24483,1031,189,1666.04,44.18,52751,13.36,4.4,4.211,18.33,1.62,8.82,0.03
2025-07-17,CAMP-681453,Instagram Ads,Awareness,45-54,178.82,49555,3471,13,745.67,6523.69,23162,7.35,18.2,7.004,0.37,0.21,57.36,8.75
2025-02-23,CAMP-735392,TikTok Ads,Engagement,45-54,74.4,18159,2623,94,597.82,5654.86,8892,2.23,5.4,14.445,3.58,0.23,6.36,9.46
